关键词,意图（代码）,搜索量,趋势,KD,CPC (USD),竞争程度,SF,结果,快照日期,更新状态
weather .gov,1,2900,29 | 0 | 0 | 0 | 0 | 100 | 44 | 36 | 36 | 29 | 23 | 0,70,0.93,0.33,6 | 21,,20260718,0
what is a solar storm,0,2900,4 | 16 | 2 | 2 | 2 | 1 | 16 | 2 | 7 | 2 | 2 | 2,35,2.02,0.33,7 | 9 | 20 | 21 | 28 | 36 | 50,173,20260718,0
what time can i see the northern lights,0,2900,0 | 8 | 0 | 0 | 0 | 0 | 66 | 0 | 0 | 0 | 0 | 0,25,0,0.05,6 | 7 | 9 | 21 | 28 | 50,199,20260718,0
what time can you see the northern lights tonight,0,2900,0 | 10 | 0 | 0 | 1 | 0 | 54 | 0 | 2 | 0 | 0 | 0,28,0,0.01,6 | 7 | 9 | 21 | 28 | 50,190,20260718,0
what time to see northern lights tonight,0,2900,0 | 8 | 0 | 0 | 1 | 0 | 54 | 0 | 2 | 0 | 0 | 0,35,0,0.33,6 | 7 | 9 | 21 | 28 | 50,183,20260718,0
what time will the northern lights be visible,0,2900,0 | 19 | 0 | 0 | 0 | 0 | 81 | 0 | 0 | 0 | 0 | 0,29,0,0.05,7 | 9 | 21 | 28 | 50,204,20260718,0
when can i see the northern lights tonight,0,2900,0 | 8 | 0 | 0 | 0 | 0 | 100 | 0 | 1 | 0 | 0 | 0,45,0,0.01,7 | 9 | 21 | 28 | 50,189,20260718,0
when can you see the northern lights,0,2900,3 | 13 | 8 | 3 | 3 | 2 | 44 | 2 | 4 | 1 | 2 | 1,26,0.47,0.09,7 | 9 | 21 | 28 | 50,186,20260718,0
where can you see the aurora borealis,0,2900,19 | 29 | 44 | 29 | 66 | 44 | 44 | 23 | 44 | 35 | 23 | 54,48,0.37,0.15,6 | 9 | 20 | 21 | 28 | 50,218,20260718,0
where to see the northern lights tonight,0,2900,2 | 24 | 0 | 2 | 10 | 1 | 100 | 0 | 10 | 0 | 1 | 1,26,0.71,0.02,7 | 9 | 21 | 28 | 50,177,20260718,0
will the northern lights be visible tonight,0,2900,0 | 5 | 0 | 0 | 3 | 1 | 44 | 0 | 3 | 0 | 0 | 0,56,0,0.01,7 | 9 | 21 | 28 | 50,185,20260718,0
alaska aurora borealis,0,2400,1 | 1 | 7 | 7 | 8 | 7 | 13 | 29 | 7 | 2 | 10 | 19,45,0.81,0.15,9 | 21 | 28 | 41 | 50,20,20260718,0
au aurora,0,2400,0 | 81 | 0 | 16 | 29 | 100 | 10 | 0 | 0 | 66 | 100 | 100,45,0,0.33,9 | 21 | 28 | 50,20,20260718,0
aurora borealis california,0,2400,0 | 2 | 0 | 0 | 0 | 0 | 4 | 0 | 1 | 0 | 0 | 0,22,0,0.33,7 | 9 | 13 | 20 | 21 | 28 | 50,108,20260718,0
aurora borealis forecast for my area,0,2400,5 | 8 | 1 | 8 | 8 | 6 | 100 | 8 | 19 | 3 | 4 | 4,56,0.97,0.01,7 | 9 | 21 | 28 | 50,198,20260718,0
aurora borealis forecast tonight,0,2400,10 | 35 | 10 | 12 | 35 | 19 | 66 | 23 | 54 | 35 | 29 | 44,44,0.89,0.01,7 | 9 | 21 | 28 | 50,133,20260718,0
aurora borealis nyc,0,2400,0 | 1 | 2 | 4 | 16 | 0 | 7 | 1 | 13 | 0 | 1 | 2,21,0,0.33,7 | 9 | 20 | 21 | 28 | 50,107,20260718,0
aurora borealis ohio,0,2400,0 | 2 | 0 | 0 | 2 | 0 | 6 | 1 | 1 | 0 | 0 | 0,11,0,0.33,7 | 9 | 21 | 28 | 43 | 50,109,20260718,0
aurora borealis visible tonight,0,2400,2 | 10 | 0 | 3 | 10 | 3 | 100 | 3 | 16 | 0 | 1 | 2,32,0,0.33,7 | 9 | 21 | 28 | 50,139,20260718,0
aurora forecast fairbanks,0,2400,10 | 5 | 10 | 36 | 100 | 24 | 36 | 81 | 66 | 66 | 28 | 13,34,0.95,0.02,6 | 7 | 9 | 21 | 28,109,20260718,0
aurora forecast for alaska,0,2400,13 | 1 | 0 | 2 | 3 | 36 | 100 | 1 | 0 | 0 | 1 | 0,43,1.06,0.01,0 | 6 | 7 | 9 | 21 | 28 | 50,124,20260718,0
aurora today,0,2400,2 | 16 | 1 | 2 | 7 | 3 | 54 | 4 | 8 | 1 | 2 | 2,46,0,0.33,7 | 9 | 21 | 28 | 50,141,20260718,0
best time to visit alaska to see northern lights,0 | 2,2400,36 | 28 | 43 | 43 | 24 | 28 | 43 | 43 | 28 | 19 | 28 | 28,23,0.74,0.31,6 | 9 | 21 | 28 | 50,3590,20260718,0
borealis aurora,0,2400,1 | 2 | 3 | 2 | 4 | 7 | 44 | 0 | 24 | 0 | 0 | 8,63,1.02,0.02,5 | 7 | 9 | 13 | 20 | 21 | 28 | 50,109,20260718,0
colorado northern lights,0,2400,2 | 24 | 0 | 5 | 10 | 3 | 100 | 7 | 16 | 2 | 0 | 0,21,0,0.33,7 | 9 | 21 | 28 | 50,109,20260718,0
fairbanks alaska aurora borealis tours,1,2400,4 | 5 | 5 | 7 | 8 | 2 | 10 | 10 | 81 | 5 | 3 | 2,32,1.91,0.05,3 | 6 | 7 | 9 | 13 | 28,165,20260718,0
fairbanks alaska northern lights tour,0,2400,8 | 3 | 10 | 5 | 2 | 8 | 2 | 2 | 100 | 3 | 29 | 2,25,1.91,0.05,7 | 9 | 13 | 21 | 28 | 50,174,20260718,0
fairbanks aurora,0,2400,13 | 19 | 28 | 28 | 54 | 43 | 43 | 19 | 54 | 8 | 36 | 28,46,0.98,0.31,1 | 7 | 9 | 13 | 20 | 21 | 28,125,20260718,0
fairbanks aurora prediction,0,2400,1 | 1 | 1 | 7 | 29 | 19 | 3 | 2 | 29 | 36 | 100 | 0,13,0.95,0.02,9 | 21 | 28 | 43 | 50,107,20260718,0
fairbanks northern lights,0,2400,24 | 19 | 28 | 54 | 36 | 54 | 100 | 54 | 19 | 19 | 24 | 8,38,0.98,0.31,6 | 7 | 9 | 13 | 15 | 21 | 28 | 43 | 50,132,20260718,0
full halo event forecast,0 | 1,2400,0 | 0 | 0 | 0 | 0 | 0 | 0 | 100 | 0 | 0 | 0 | 0,30,0,0.33,7 | 9 | 28 | 50,133,20260718,0
g4 geomagnetic storm noaa,0 | 1,2400,0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 100 | 0 | 0 | 0,33,0,0.33,6 | 9 | 21 | 28 | 50,7,20260718,0
geomagnetic storm aurora borealis,0,2400,0 | 0 | 0 | 0 | 81 | 0 | 0 | 0 | 16 | 0 | 0 | 0,50,0,0.01,9 | 21 | 28 | 36 | 50,108,20260718,0
how watch northern lights,0,2400,0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 44 | 100,28,1.14,0.08,7 | 9 | 20 | 21 | 28 | 50,168,20260718,0
noaa northern lights forecast,0,2400,4 | 13 | 3 | 5 | 8 | 13 | 13 | 7 | 13 | 3 | 8 | 5,18,0,0.33,7 | 9 | 21 | 28 | 50,101,20260718,0
norther lights,0,2400,13 | 36 | 8 | 24 | 19 | 24 | 54 | 36 | 36 | 10 | 19 | 13,67,1.02,0.02,9 | 21 | 28 | 50,110,20260718,0
northern lights forecast alaska,0,2400,8 | 19 | 15 | 66 | 66 | 24 | 28 | 54 | 54 | 36 | 54 | 36,36,1.06,0.01,6 | 7 | 9 | 21 | 28 | 50,124,20260718,0
northern lights g3 storm,0,2400,0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 100 | 0,31,0,0.33,9 | 20 | 21 | 28 | 50,184,20260718,0
northern lights in alaska,0,2400,23 | 23 | 19 | 29 | 23 | 44 | 81 | 23 | 29 | 16 | 16 | 16,48,0.54,0.24,7 | 9 | 13 | 20 | 21 | 28 | 36 | 50,131,20260718,0
northern lights in indiana,0,2400,2 | 13 | 0 | 2 | 10 | 2 | 100 | 2 | 8 | 0 | 1 | 0,10,0,0.33,7 | 9 | 20 | 21 | 28 | 43 | 50,109,20260718,0
northern lights in michigan,0,2400,12 | 66 | 8 | 19 | 29 | 10 | 12 | 1 | 2 | 8 | 2 | 1,22,0.52,0.33,7 | 9 | 13 | 21 | 28 | 36 | 50,128,20260718,0
northern lights june 2025,0,2400,0 | 100 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0,26,0,0.33,9 | 21 | 28 | 50,140,20260718,0
northern lights maine,0,2400,13 | 66 | 15 | 13 | 36 | 15 | 36 | 8 | 23 | 5 | 8 | 8,18,5.52,0.01,7 | 9 | 13 | 21 | 28 | 36 | 50,109,20260718,0
northern lights map tonight,0,2400,1 | 24 | 2 | 10 | 4 | 3 | 54 | 2 | 36 | 0 | 3 | 7,53,1.51,0.33,5 | 7 | 9 | 21 | 28 | 50,136,20260718,0
northern lights massachusetts,0,2400,0 | 7 | 0 | 0 | 3 | 1 | 16 | 1 | 8 | 0 | 0 | 0,20,0,0.33,5 | 7 | 9 | 13 | 20 | 21 | 28 | 50,110,20260718,0
northern lights minnesota,0,2400,4 | 5 | 3 | 2 | 7 | 5 | 44 | 4 | 7 | 2 | 7 | 2,11,0,0.33,7 | 9 | 13 | 21 | 28 | 50,108,20260718,0
northern lights near me,0 | 3,2400,5 | 16 | 4 | 7 | 10 | 7 | 54 | 7 | 13 | 4 | 5 | 5,26,0.71,0.01,7 | 9 | 21 | 28 | 50,202,20260718,0
northern lights st louis,0,2400,0 | 3 | 0 | 0 | 0 | 0 | 100 | 0 | 4 | 0 | 0 | 0,26,0,0.33,5 | 9 | 20 | 21 | 28 | 50,109,20260718,0
northern lights sunday night,0,2400,5 | 100 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0,31,0,0.33,7 | 9 | 21 | 28 | 50,110,20260718,0
northern lights texas,0,2400,0 | 13 | 0 | 1 | 0 | 0 | 54 | 3 | 36 | 0 | 0 | 0,21,0,0.33,7 | 9 | 13 | 21 | 28 | 36 | 50,110,20260718,0
northern lights today,0,2400,2 | 10 | 1 | 3 | 8 | 3 | 54 | 4 | 13 | 1 | 2 | 2,47,0,0.33,7 | 9 | 21 | 28 | 50,139,20260718,0
northern lights tonight dallas,0,2400,0 | 4 | 0 | 0 | 0 | 0 | 100 | 0 | 1 | 0 | 0 | 0,23,0,0.01,5 | 6 | 7 | 9 | 13 | 20 | 21 | 28 | 50,107,20260718,0
northern lights tonight new jersey,0,2400,0 | 7 | 0 | 0 | 1 | 0 | 44 | 0 | 1 | 0 | 0 | 0,17,0,0.33,9 | 21 | 28 | 50,107,20260718,0
northern lights where,0,2400,3 | 7 | 8 | 1 | 2 | 1 | 1 | 4 | 100 | 3 | 8 | 5,55,0.37,0.15,6 | 7 | 9 | 21 | 28 | 50,134,20260718,0
solar storm warning today,0,2400,8 | 13 | 5 | 5 | 0 | 4 | 10 | 0 | 10 | 0 | 3 | 0,45,0,0,6 | 9 | 21 | 28 | 50,217,20260718,0
weather forecast websites,0,2400,29 | 29 | 36 | 16 | 22 | 54 | 100 | 43 | 100 | 65 | 43 | 81,100,0.32,0.02,6 | 9 | 28 | 50,137,20260718,0
what time can i see the northern lights tonight,0,2400,0 | 8 | 0 | 0 | 2 | 0 | 54 | 0 | 7 | 0 | 0 | 0,24,0,0.01,7 | 9 | 21 | 28 | 50,183,20260718,0
when do you see aurora borealis,0,2400,4 | 24 | 0 | 3 | 7 | 3 | 100 | 3 | 7 | 2 | 3 | 3,32,0.47,0.09,6 | 7 | 9 | 21 | 28 | 50,176,20260718,0
when is the best time to see the northern lights,2,2400,5 | 16 | 7 | 7 | 8 | 7 | 81 | 5 | 13 | 4 | 4 | 4,22,0.66,0.25,6 | 9 | 21 | 28 | 50,178,20260718,0
when is the best time to view the aurora borealis,0 | 2,2400,3 | 7 | 0 | 2 | 3 | 3 | 54 | 3 | 4 | 2 | 2 | 3,10,0.66,0.25,6 | 7 | 9 | 21 | 28 | 50,166,20260718,0
where can i see the northern lights tonight,0,2400,0 | 4 | 0 | 0 | 0 | 1 | 36 | 0 | 7 | 0 | 0 | 0,43,0.71,0.02,7 | 9 | 15 | 21 | 28 | 50,184,20260718,0
where is a storm right now,0,2400,1 | 10 | 0 | 3 | 10 | 12 | 3 | 3 | 100 | 8 | 19 | 10,90,0.73,0.01,7 | 9 | 21 | 28,231,20260718,0
where is the storm right now,0,2400,4 | 5 | 7 | 3 | 8 | 10 | 2 | 2 | 66 | 5 | 13 | 5,92,0.73,0.01,7 | 9 | 21 | 28,231,20260718,0
aurora alaska,0,1900,4 | 4 | 3 | 16 | 10 | 66 | 36 | 19 | 7 | 3 | 13 | 36,40,0.81,0.15,1 | 7 | 9 | 13 | 20 | 21 | 28 | 50,131,20260718,0
aurora alert,0,1900,4 | 4 | 0 | 0 | 1 | 3 | 8 | 1 | 2 | 0 | 0 | 0,63,0.38,0.01,9 | 21 | 28,209,20260718,0
aurora app,0,1900,8 | 23 | 8 | 10 | 23 | 13 | 66 | 23 | 13 | 8 | 4 | 1,60,2.49,0.02,7 | 9 | 21 | 28 | 50,164,20260718,0
aurora aurora aurora,0 | 3,1900,0 | 0 | 8 | 0 | 81 | 3 | 1 | 1 | 44 | 66 | 100 | 1,85,1.21,0.33,1 | 5 | 7 | 9 | 20 | 21 | 28,105,20260718,0
aurora borealis fairbanks,0,1900,12 | 12 | 10 | 23 | 44 | 35 | 81 | 66 | 3 | 16 | 5 | 4,39,0.98,0.31,6 | 7 | 9 | 20 | 21 | 28 | 36 | 50,135,20260718,0
aurora borealis indiana,0,1900,0 | 3 | 0 | 0 | 2 | 0 | 16 | 0 | 2 | 0 | 0 | 0,15,0,0.33,9 | 21 | 28 | 50,110,20260718,0
aurora borealis new york,0,1900,0 | 2 | 0 | 0 | 3 | 0 | 1 | 1 | 8 | 0 | 0 | 1,27,0,0.33,5 | 7 | 9 | 13 | 20 | 21 | 28 | 50,7620000,20260718,0
aurora borealis oregon,0,1900,0 | 3 | 0 | 0 | 1 | 0 | 1 | 0 | 6 | 0 | 0 | 0,23,0,0.33,7 | 9 | 21 | 28 | 50,110,20260718,0
aurora borealis prediction,0,1900,3 | 7 | 54 | 12 | 23 | 2 | 5 | 4 | 100 | 5 | 10 | 29,28,1.04,0.01,6 | 7 | 9 | 21 | 28 | 50,128,20260718,0
aurora borealis today,0,1900,3 | 19 | 3 | 4 | 12 | 5 | 54 | 6 | 19 | 3 | 3 | 3,64,0,0.01,9 | 21 | 28,132,20260718,0
aurora borealis utah,0,1900,0 | 2 | 0 | 0 | 2 | 1 | 36 | 0 | 19 | 0 | 1 | 0,21,0,0.33,7 | 9 | 20 | 21 | 28 | 43 | 50,105,20260718,0
aurora borealis viewing locations monday,0,1900,44 | 54 | 44 | 12 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0,43,0,0.04,6 | 7 | 9 | 21 | 28 | 50,64,20260718,0
aurora borealis visibility us states,0,1900,4 | 36 | 3 | 5 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0,44,0,0.33,7 | 9 | 21 | 28 | 50,136,20260718,0
aurora borealis weather forecast iceland,0,1900,19 | 15 | 2 | 13 | 43 | 36 | 66 | 36 | 28 | 36 | 36 | 24,49,0.32,0.11,9 | 21 | 28 | 50,136,20260718,0
aurora forecast map,0,1900,3 | 13 | 1 | 5 | 4 | 3 | 24 | 3 | 5 | 1 | 1 | 2,58,0,0.33,5 | 7 | 9 | 13 | 28,140,20260718,0
aurora northern lights locati0n,0,1900,65 | 36 | 2 | 10 | 36 | 43 | 100 | 54 | 36 | 43 | 54 | 36,53,1.06,0.04,7 | 9 | 21 | 28 | 50,138,20260718,0
aurora projector northern and southern lights,0,1900,10 | 12 | 1 | 8 | 10 | 12 | 54 | 100 | 16 | 23 | 12 | 16,22,0.66,1,6 | 7 | 9 | 20 | 21 | 28 | 50,431000,20260718,0
aurora usa,0,1900,4 | 10 | 3 | 4 | 5 | 3 | 16 | 3 | 5 | 1 | 2 | 2,73,0.33,0.04,1 | 9 | 13 | 21 | 28 | 41 | 50,136,20260718,0
aurora watch,0,1900,7 | 10 | 4 | 13 | 13 | 7 | 29 | 13 | 10 | 8 | 7 | 10,78,0.3,0.83,9 | 21 | 28,196,20260718,0
aurora weather forecast,0,1900,80 | 36 | 44 | 66 | 52 | 80 | 80 | 44 | 52 | 44 | 20 | 80,48,0.19,0.33,0 | 9 | 28,146,20260718,0
best time to view northern lights,2,1900,10 | 54 | 15 | 15 | 36 | 36 | 100 | 19 | 43 | 13 | 19 | 15,27,0.79,0.2,6 | 7 | 9 | 21 | 28 | 43 | 50,179,20260718,0
can i see northern lights tonight,0,1900,0 | 10 | 0 | 0 | 4 | 2 | 81 | 0 | 4 | 2 | 0 | 0,57,1.26,0.01,7 | 9 | 21 | 28 | 50,179,20260718,0
can i see the aurora tonight,0,1900,0 | 0 | 0 | 2 | 0 | 0 | 100 | 0 | 0 | 0 | 0 | 0,45,1.26,0.01,7 | 9 | 21 | 28 | 50,175,20260718,0
can we see the northern lights tonight,0,1900,0 | 4 | 0 | 0 | 2 | 0 | 24 | 0 | 3 | 0 | 0 | 0,44,0,0.01,9 | 21 | 28,179,20260718,0
g3 geomagnetic storm,0,1900,1 | 2 | 0 | 2 | 100 | 3 | 8 | 19 | 1 | 0 | 100 | 0,20,0,0.33,5 | 9 | 13 | 20 | 21 | 28 | 36 | 50,130,20260718,0
geomatic storm,0,1900,0 | 100 | 0 | 0 | 0 | 0 | 1 | 0 | 0 | 0 | 0 | 0,54,2.16,0.33,5 | 9 | 21 | 28 | 36 | 41 | 50,119,20260718,0
how to see northern lights,0,1900,0 | 7 | 0 | 3 | 5 | 4 | 54 | 0 | 5 | 1 | 0 | 0,32,0.61,0.19,7 | 9 | 21 | 28 | 43 | 50,188,20260718,0
how to see the northern lights tonight,0,1900,0 | 10 | 0 | 0 | 0 | 0 | 29 | 0 | 3 | 2 | 0 | 0,39,0,0.02,7 | 9 | 21 | 28 | 50,138,20260718,0
iceland aurora lights forecast,0,1900,29 | 22 | 3 | 20 | 65 | 54 | 100 | 54 | 43 | 54 | 54 | 36,45,0.34,0.07,6 | 9 | 21 | 28,91,20260718,0
iceland weather aurora,2,1900,19 | 15 | 2 | 13 | 43 | 36 | 66 | 36 | 36 | 36 | 36 | 24,43,0.32,0.11,9 | 21 | 28,134,20260718,0
illinois northern lights,0,1900,3 | 19 | 1 | 5 | 13 | 3 | 100 | 4 | 13 | 1 | 3 | 2,15,0,0.33,7 | 9 | 21 | 28 | 50,106,20260718,0
kp index forecast,0,1900,6 | 19 | 3 | 6 | 10 | 8 | 54 | 5 | 19 | 4 | 6 | 3,64,0,0.33,9 | 21 | 28 | 50,98,20260718,0
noaa aurora borealis,0,1900,1 | 3 | 0 | 3 | 3 | 1 | 0 | 0 | 44 | 1 | 2 | 3,39,0,0.33,5 | 9 | 21 | 28,106,20260718,0
northern light tracker,0,1900,4 | 8 | 4 | 3 | 5 | 8 | 66 | 2 | 24 | 4 | 6 | 4,73,0.45,0.01,9 | 20 | 21 | 28,208,20260718,0
northern lights florida,0,1900,0 | 1 | 0 | 0 | 0 | 0 | 54 | 0 | 0 | 0 | 0 | 0,15,0,0.33,9 | 13 | 21 | 28 | 36 | 50,109,20260718,0
northern lights georgia,0,1900,2 | 20 | 0 | 0 | 0 | 0 | 20 | 0 | 7 | 0 | 0 | 0,18,0,0.33,6 | 9 | 13 | 20 | 21 | 28 | 50,49000000,20260718,0
northern lights locati0n,0,1900,29 | 10 | 13 | 10 | 13 | 24 | 36 | 13 | 16 | 16 | 19 | 16,50,1.06,0.04,5 | 7 | 9 | 21 | 28 | 50,138,20260718,0
northern lights north carolina,0,1900,1 | 13 | 0 | 0 | 1 | 1 | 44 | 1 | 13 | 0 | 0 | 0,23,0,0.33,9 | 13 | 21 | 28 | 50,105,20260718,0
northern lights tonight chicago,0,1900,1 | 13 | 0 | 0 | 4 | 0 | 66 | 1 | 5 | 0 | 0 | 1,20,0,0.33,7 | 9 | 21 | 28 | 50,109,20260718,0
northern lights viewing,0,1900,19 | 66 | 10 | 19 | 28 | 19 | 81 | 15 | 28 | 8 | 10 | 10,55,1,0.12,7 | 9 | 21 | 28 | 50,111,20260718,0
northern lights washington,0,1900,2 | 16 | 3 | 2 | 4 | 1 | 10 | 1 | 7 | 0 | 1 | 1,19,0,0.33,7 | 9 | 20 | 21 | 28 | 50,128,20260718,0
solar activity today,0,1900,29 | 35 | 19 | 19 | 16 | 23 | 35 | 23 | 23 | 19 | 19 | 16,74,2.32,0.33,7 | 9 | 20 | 21 | 28 | 50,230,20260718,0
solar storm news,0,1900,16 | 16 | 7 | 7 | 29 | 100 | 19 | 35 | 16 | 12 | 4 | 7,79,0,0.33,9 | 20 | 21 | 28 | 50,391,20260718,0
spacewea,0,1900,0 | 0 | 1 | 100 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0,71,0,0.33,9 | 21 | 28,126,20260718,0
spaceweather.com,1,1900,0 | 36 | 0 | 0 | 43 | 54 | 66 | 15 | 0 | 66 | 43 | 36,67,0,0.33,6 | 9 | 21,,20260718,0
sun flare,0,1900,36 | 36 | 36 | 19 | 28 | 28 | 54 | 36 | 28 | 28 | 24 | 36,53,2.38,0.01,5 | 9 | 20 | 21 | 28 | 41 | 50,121,20260718,0
sun flares today,0,1900,3 | 10 | 10 | 7 | 3 | 8 | 8 | 8 | 5 | 7 | 3 | 3,50,1.87,0.33,9 | 21 | 28 | 50,175,20260718,0
tonight's northern lights,0,1900,0 | 1 | 1 | 3 | 100 | 0 | 8 | 0 | 0 | 100 | 0 | 0,23,1.7,0.01,7 | 9 | 21 | 28 | 50,134,20260718,0
what is the northern lights,0,1900,0 | 1 | 0 | 0 | 3 | 13 | 29 | 4 | 5 | 3 | 3 | 3,52,0.14,0.04,6 | 7 | 9 | 20 | 21 | 28 | 36 | 50,153,20260718,0
what time for northern lights tonight,0,1900,2 | 81 | 1 | 3 | 4 | 3 | 100 | 0 | 5 | 0 | 1 | 2,43,0,0.02,9 | 21 | 28,185,20260718,0
what time is best to see aurora borealis tonight,0,1900,0 | 13 | 0 | 0 | 1 | 0 | 100 | 0 | 4 | 0 | 0 | 0,18,0,0.02,6 | 7 | 9 | 21 | 28 | 50,4280000,20260718,0
when are the northern lights visible,0,1900,1 | 19 | 1 | 2 | 4 | 2 | 100 | 1 | 4 | 1 | 1 | 1,24,0.54,0.08,7 | 9 | 21 | 28 | 50,199,20260718,0
when to see northern lights tonight,0,1900,0 | 5 | 0 | 0 | 0 | 0 | 44 | 0 | 0 | 0 | 0 | 0,41,0,0.33,7 | 9 | 21 | 28 | 50,180,20260718,0
where can we see aurora,0,1900,19 | 100 | 0 | 1 | 3 | 19 | 2 | 1 | 0 | 0 | 0 | 0,52,0.26,0.14,9 | 20 | 21 | 28 | 50,135,20260718,0
where can we see northern lights,0,1900,8 | 4 | 1 | 2 | 0 | 100 | 8 | 16 | 1 | 10 | 1 | 1,49,0.37,0.15,7 | 9 | 13 | 21 | 28 | 36 | 50,199,20260718,0
where to see aurora,0,1900,1 | 16 | 0 | 2 | 1 | 2 | 2 | 2 | 100 | 3 | 3 | 5,36,0.26,0.14,6 | 9 | 21 | 28 | 50,135,20260718,0
where to see aurora lights,0,1900,0 | 0 | 2 | 8 | 1 | 0 | 2 | 8 | 100 | 1 | 3 | 2,40,0.26,0.14,6 | 9 | 20 | 21 | 28 | 36 | 43 | 50,187,20260718,0
zodiac signs and northern lights,0,1900,0 | 100 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0,25,0,0,5 | 9 | 21 | 28 | 50,1170000,20260718,0
alaska borealis,0,1600,10 | 16 | 16 | 3 | 12 | 7 | 3 | 23 | 100 | 4 | 5 | 2,46,1.14,0.14,7 | 9 | 20 | 21 | 28 | 50,125,20260718,0
alaska northern lights forecast,0,1600,29 | 10 | 7 | 16 | 18 | 66 | 53 | 10 | 10 | 13 | 8 | 5,35,1.23,0.01,9 | 21 | 28 | 50,128,20260718,0
are there northern lights tonight,0,1600,1 | 10 | 1 | 2 | 5 | 3 | 81 | 3 | 8 | 2 | 2 | 1,48,0,0.01,9 | 21 | 28,175,20260718,0
aurora borealis colorado tonight,0,1600,0 | 3 | 0 | 0 | 1 | 0 | 100 | 0 | 16 | 0 | 0 | 0,38,0,0.33,7 | 9 | 21 | 28 | 50,135,20260718,0
aurora borealis connecticut tonight,0,1600,1 | 36 | 0 | 0 | 8 | 1 | 100 | 0 | 10 | 0 | 1 | 2,19,0,0.33,6 | 9 | 21 | 28 | 50,127,20260718,0
aurora borealis forecast alaska,0,1600,18 | 24 | 24 | 44 | 24 | 29 | 29 | 44 | 100 | 10 | 16 | 13,31,1.06,0.01,7 | 9 | 21 | 28 | 50,131,20260718,0
northern lights tonight,0,135000,0 | 7 | 0 | 0 | 2 | 0 | 44 | 0 | 4 | 0 | 0 | 4,42,1.7,0.01,7 | 9 | 21 | 28 | 50,130,20260718,0
northern lights forecast tonight,0,14800,6 | 11 | 3 | 4 | 11 | 7 | 45 | 7 | 20 | 16 | 7 | 9,54,0.89,0.01,7 | 9 | 21 | 28 | 50,135,20260718,0
aurora borealis northern lights tonight,0,9900,0 | 0 | 0 | 0 | 0 | 0 | 54 | 0 | 2 | 0 | 0 | 0,46,1.52,0.02,9 | 15 | 21 | 28 | 49 | 50,51,20260718,0
best time to see northern lights tonight,0 | 2,8100,0 | 9 | 0 | 0 | 0 | 0 | 67 | 0 | 0 | 0 | 0 | 0,32,0,0.33,7 | 9 | 21 | 28 | 50,185,20260718,0
what time will the northern lights be visible tonight,0,8100,0 | 9 | 0 | 0 | 1 | 1 | 55 | 1 | 11 | 0 | 0 | 0,45,0.6,0.01,7 | 9 | 21 | 28 | 50,192,20260718,0
can i see the northern lights tonight,0,6600,0 | 6 | 0 | 1 | 2 | 1 | 44 | 0 | 6 | 0 | 0 | 0,41,1.26,0.01,7 | 9 | 21 | 28 | 50,184,20260718,0
northern lights tonight near me,0 | 3,5400,0 | 2 | 0 | 4 | 1 | 0 | 13 | 1 | 4 | 0 | 0 | 0,42,0.99,0.02,7 | 9 | 21 | 28 | 50,192,20260718,0
what time is the northern lights tonight,0,5400,0 | 7 | 0 | 0 | 0 | 0 | 100 | 0 | 0 | 0 | 0 | 0,21,0,0.01,7 | 9 | 21 | 28 | 50,38,20260718,0
are the northern lights visible tonight,0,4400,0 | 5 | 0 | 0 | 5 | 1 | 54 | 1 | 5 | 0 | 0 | 0,29,0,0.33,7 | 9 | 21 | 28 | 50,182,20260718,0
can you see the northern lights tonight,0,4400,0 | 3 | 0 | 0 | 0 | 0 | 36 | 0 | 2 | 0 | 0 | 0,44,0,0.33,7 | 9 | 21 | 28 | 50,186,20260718,0
northern lights tonight map,0,4400,2 | 16 | 0 | 3 | 7 | 3 | 44 | 3 | 8 | 0 | 1 | 2,53,1.51,0.33,5 | 7 | 9 | 21 | 28 | 50,135,20260718,0
what time are the northern lights tonight,0,4400,0 | 7 | 0 | 0 | 0 | 0 | 36 | 0 | 0 | 0 | 0 | 0,47,0,0.01,7 | 9 | 21 | 28 | 50,188,20260718,0
where to see northern lights tonight,0,4400,0 | 13 | 0 | 1 | 1 | 1 | 29 | 1 | 8 | 0 | 0 | 0,58,0.71,0.02,7 | 9 | 21 | 28 | 50,182,20260718,0
northern lights colorado tonight,0,3600,0 | 2 | 0 | 0 | 0 | 0 | 100 | 0 | 3 | 0 | 0 | 0,27,0,0.33,7 | 9 | 21 | 28 | 50,133,20260718,0
northern lights michigan tonight,0,2900,3 | 29 | 2 | 3 | 16 | 5 | 24 | 3 | 4 | 0 | 2 | 1,28,0,0.33,7 | 9 | 21 | 28 | 50,135,20260718,0
